,,,Прайс на размещение рекламного ролика,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GID,Регион,Город,Район,Название пакета,Категория ЖК,Дата застройки экранов,Класс жилья,Наименование ЖК,Адрес,"Коррдинаты (широта, долгота)",,Год сдачи дома,Этажность,Количество квартир,Количество жильцов,Всего экранов,Число экранов в холле,Всего холлов в доме,Число экранов в лифте,Всего лифтов в доме,Тип экрана,Способ показа,Формат,Хронометраж (сек),Блок,Кол-во показов в сутки/1 экран (сек),Период/дней,Кол-во показов в ЖК/период,Частота контакта рекламы c 1 жителем (Frequency),Количество контактов с рекламой (OTS),Стоимость 1000 контактов (CPT) с НДС для Федерального и крупного бизнеса,ФО/скрин с камеры,Фото,Цена за размещение на 1 экране/месяц руб. без НДС,Цена за размещение на 1 экране/месяц руб. в т.ч НДС 22%,"Стоимость размещения в 1 доме/1 месяц, руб. без НДС","Стоимость размещения в 1 доме/1 месяц, руб. в т.ч.НДС 22%"
U30,Республика Башкортостан,Уфа,Октябрьский,Проспект,А,11.2025,Комфорт,ЖК Планета,"бульвар Давлеткильдеева, 18",54.762298,56.034266,2020,25,393,1 100,3,1,1,2,3,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,53568,26,28579,420,100%,,3279,4000,9836,12000
U30,Республика Башкортостан,Уфа,Октябрьский,Проспект,А,05.2026,Комфорт,ЖК Планета,"улица Рудольфа Нуреева, 10",54.760672,56.030925,2019,26,364,1 019,1,1,1,0,3,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,17856,8,8215,487,100%,,3279,4000,3279,4000
U31,Республика Башкортостан,Уфа,Октябрьский,Проспект,А,05.2026,Комфорт,ЖК Планета 2,"улица Рудольфа Нуреева, 14",54.762984,56.033018,2014,17,445,1 246,8,0,4,8,8,Вертикальный 4*3,Digital (без звука),видеоролик,10,150,576,31,142848,18,22764,1406,100%,,3279,4000,26230,32000
U32,Республика Башкортостан,Уфа,Октябрьский,Проспект,А,05.2026,Комфорт,ЖК Планета 3,"улица Рудольфа Нуреева, 14А",54.762272,56.032784,2015,18,249,697,6,0,3,6,6,Вертикальный 4*3,Digital (без звука),видеоролик,10,150,576,31,107136,19,13487,1780,100%,,3279,4000,19672,24000
U33,Республика Башкортостан,Уфа,Ленинский,Ленинский 1 Затон_мкрн. 8 Марта,Б,11.2025,Стандарт,ЖК 8 Марта 1,"улица Природная, 20",54.781275,55.962769,2021,17,431,1 207,2,2,2,0,4,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,35712,8,9727,822,100%,,3279,4000,6557,8000
U33,Республика Башкортостан,Уфа,Ленинский,Ленинский 1 Затон_мкрн. 8 Марта,Б,11.2025,Стандарт,ЖК 8 Марта 1,"улица Природная, 24",54.781124,55.964692,2024,17,448,1 254,2,0,2,2,4,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,35712,9,11459,698,100%,,3279,4000,6557,8000
U33,Республика Башкортостан,Уфа,Ленинский,Ленинский 1 Затон_мкрн. 8 Марта,Б,11.2025,Стандарт,ЖК 8 Марта 1,"улица Природная, 28",54.781316,55.966560,2025,26,309,865,2,1,1,1,3,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,35712,17,15032,532,100%,,3279,4000,6557,8000
U33,Республика Башкортостан,Уфа,Ленинский,Ленинский 1 Затон_мкрн. 8 Марта,Б,11.2025,Стандарт,ЖК 8 Марта 1,"улица Природная, 28/1",54.780652,55.965770,2025,26,309,865,2,1,1,1,3,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,35712,17,15032,532,100%,,3279,4000,6557,8000
U34,Республика Башкортостан,Уфа,Ленинский,Ленинский 1 Затон_мкрн. 8 Марта,Б,11.2025,Стандарт,ЖК 8 Марта 2,"улица Асхата Мирзагитова, 10",54.780273,55.961224,2021,17,441,1 235,4,2,2,2,4,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,71424,17,21232,754,100%,,3279,4000,13115,16000
U34,Республика Башкортостан,Уфа,Ленинский,Ленинский 1 Затон_мкрн. 8 Марта,Б,11.2025,Стандарт,ЖК 8 Марта 2,"улица Асхата Мирзагитова, 12",54.781358,55.961449,2021,17,441,1 235,2,1,2,1,4,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,35712,9,10616,754,100%,,3279,4000,6557,8000
