,,,Прайс на размещение рекламного баннера,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GID,Регион,Город,Район,Название пакета,Категория ЖК,Дата застройки экранов,Класс жилья,Наименование ЖК,Адрес,"Коррдинаты (широта, долгота)",,Год сдачи дома,Этажность,Количество квартир,Количество жильцов,Всего экранов,Число экранов в холле,Всего холлов в доме,Число экранов в лифте,Всего лифтов в доме,Тип экрана,Способ показа,Формат,Период/дней,Частота контакта рекламы c 1 жителем (Frequency),Количество контактов с рекламой (OTS),Стоимость 1000 контактов (CPT) с НДС для Федерального и крупного бизнеса,ФО/скрин с камеры,Фото,Цена за размещение на 1 экране/месяц руб. без НДС,Цена за размещение на 1 экране/месяц руб. в т.ч НДС 22%,"Стоимость размещения в 1 доме/1 месяц, руб. без НДС ","Стоимость размещения в 1 доме/1 месяц, руб. в т.ч.НДС 22%"
U21,Республика Башкортостан,Уфа,Орджоникидзевский,Проспект,А,04.2026,Бизнес,ЖК Idel Tower 2,"проспект Октября, 107А",54.782786,56.031437,2018,34,1 379,3 861,10,0,5,10,12,Вертикальный 4*3,Digital (без звука),статичный баннер,31,34,129672,617,100%,,6557,8000,65574,80000
U22,Республика Башкортостан,Уфа,Советский,Проспект,Б,11.2025,Стандарт,ЖК Риверсайд,"улица Златоустовская, 20",54.750151,55.966003,2017,26,215,602,4,1,1,3,3,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,60,36391,879,100%,,6557,8000,26230,32000
U23,Республика Башкортостан,Уфа,Октябрьский,Инорс_Сипайлово,Б,11.2025,Стандарт,ЖК Республика ,"улица Воинов-Интернационалистов, 5",54.780652,56.049250,2022,23,646,1 809,4,2,2,2,7,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,32,57274,559,100%,,6557,8000,26230,32000
U23,Республика Башкортостан,Уфа,Октябрьский,Инорс_Сипайлово,Б,11.2025,Стандарт,ЖК Республика ,"улица Воинов-Интернационалистов, 7",54.780719,56.048073,2021,26,623,1 744,4,2,2,2,7,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,32,55235,579,100%,,6557,8000,26230,32000
U24,Республика Башкортостан,Уфа,Октябрьский,Инорс_Сипайлово,Б,06.2026,Комфорт,ЖК Республика 1,"улица Уфимское Шоссе, 18/6",54.780730,56.046861,2020,20,239,669,3,0,1,3,3,Вертикальный 4*3,Digital (без звука),статичный баннер,31,40,26969,890,100%,,6557,8000,19672,24000
U25,Республика Башкортостан,Уфа,Калининский,Проспект,Б,11.2025,Стандарт,ЖК Изумрудный 1,"улица Шумавцова, 16",54.815166,56.076290,2018,13,205,574,4,4,4,0,5,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,20,11566,2767,100%,,6557,8000,26230,32000
U26,Республика Башкортостан,Уфа,Калининский,Проспект,Б,11.2025,Стандарт,ЖК Изумрудный 2,"улица Шумавцова, 16",54.815166,56.076290,2018,13,205,574,4,0,4,4,5,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,32,18506,1729,100%,,6557,8000,26230,32000
U27,Республика Башкортостан,Уфа,Калининский,Проспект,Б,11.2025,Стандарт,ЖК Изумрудный 3,"улица Нежинская, 27",54.814279,56.075490,2021,16,402,1 126,8,8,8,0,16,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,20,22681,2822,100%,,6557,8000,52459,64000
U28,Республика Башкортостан,Уфа,Калининский,Проспект,Б,11.2025,Стандарт,ЖК Изумрудный 4,"улица Нежинская, 27",54.814279,56.075490,2021,16,402,1 126,8,0,8,8,16,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,20,22681,2822,100%,,6557,8000,52459,64000
U29,Республика Башкортостан,Уфа,Октябрьский,Проспект,А,11.2025,Комфорт,ЖК Панорама,"улица Архитектора Рехмукова, 7",54.763077,56.031284,2015,25,385,1 078,3,3,3,0,7,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,20,21722,1105,100%,,6557,8000,19672,24000
