,,,Прайс на размещение рекламного баннера,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GID,Регион,Город,Район,Название пакета,Категория ЖК,Дата застройки экранов,Класс жилья,Наименование ЖК,Адрес,"Коррдинаты (широта, долгота)",,Год сдачи дома,Этажность,Количество квартир,Количество жильцов,Всего экранов,Число экранов в холле,Всего холлов в доме,Число экранов в лифте,Всего лифтов в доме,Тип экрана,Способ показа,Формат,Период/дней,Частота контакта рекламы c 1 жителем (Frequency),Количество контактов с рекламой (OTS),Стоимость 1000 контактов (CPT) с НДС для Федерального и крупного бизнеса,ФО/скрин с камеры,Фото,Цена за размещение на 1 экране/месяц руб. без НДС,Цена за размещение на 1 экране/месяц руб. в т.ч НДС 22%,"Стоимость размещения в 1 доме/1 месяц, руб. без НДС ","Стоимость размещения в 1 доме/1 месяц, руб. в т.ч.НДС 22%"
NN13,Нижегородская область,Нижний Новгород,Нижегородский,Нижегородский_Печеры,Б,11.2025,Комфорт,ЖК Академический,"улица Академическая, 9",56.282016,44.086017,2021,14,120,336,1,1,1,0,2,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,20,6770,1182,100%,,6557,8000,6557,8000
NN13,Нижегородская область,Нижний Новгород,Нижегородский,Нижегородский_Печеры,Б,11.2025,Комфорт,ЖК Академический,"улица Академическая, 10",56.281646,44.087823,2018,14,190,532,1,1,1,0,2,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,20,10720,746,100%,,6557,8000,6557,8000
NN13,Нижегородская область,Нижний Новгород,Нижегородский,Нижегородский_Печеры,Б,11.2025,Комфорт,ЖК Академический," улица Академическая, 12",56.280397,44.089566,2018,16,290,812,2,2,1,0,4,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,40,32724,489,100%,,6557,8000,13115,16000
NN13,Нижегородская область,Нижний Новгород,Нижегородский,Нижегородский_Печеры,Б,11.2025,Комфорт,ЖК Академический,"улица Академическая, 14",56.280127,44.090760,2019,16,150,420,1,1,1,0,2,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,20,8463,945,100%,,6557,8000,6557,8000
NN13,Нижегородская область,Нижний Новгород,Нижегородский,Нижегородский_Печеры,Б,11.2025,Комфорт,ЖК Академический,"улица Академическая, 16",56.278428,44.093267,2020,16,160,448,1,1,1,0,3,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,20,9027,886,100%,,6557,8000,6557,8000
NN13,Нижегородская область,Нижний Новгород,Нижегородский,Нижегородский_Печеры,Б,11.2025,Комфорт,ЖК Академический,"улица Академическая, 11",56.280866,44.088407,2021,14,154,431,1,1,1,0,2,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,20,8689,921,100%,,6557,8000,6557,8000
NN13,Нижегородская область,Нижний Новгород,Нижегородский,Нижегородский_Печеры,Б,11.2025,Комфорт,ЖК Академический,"шоссе Казанское, 14к3",56.284054,44.082199,2022,9,284,795,4,4,1,0,4,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,81,64093,499,100%,,6557,8000,26230,32000
NN13,Нижегородская область,Нижний Новгород,Нижегородский,Нижегородский_Печеры,Б,11.2025,Комфорт,ЖК Академический,"улица Академическая, 20",56.277413,44.097138,2025,11,120,336,1,1,1,0,3,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,20,6770,1182,100%,,6557,8000,6557,8000
NN14,Нижегородская область,Нижний Новгород,​Советский,Советский Центр,Б,03.2026,Бизнес,ЖК Центр 1,"улица Полтавская, 11",56.316139,44.024240,2004,9,45,126,2,2,2,0,2,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,20,2539,6302,100%,,6557,8000,13115,16000
NN14,Нижегородская область,Нижний Новгород,​Советский,Советский Центр,Б,03.2026,Бизнес,ЖК Центр 1,"улица Невзоровых, 49",56.315855,44.022156,2007,10,107,300,3,3,2,0,2,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,30,9055,2650,100%,,6557,8000,19672,24000
NN14,Нижегородская область,Нижний Новгород,​Советский,Советский Центр,Б,03.2026,Бизнес,ЖК Центр 1,"улица Невзоровых, 51",56.316159,44.023063,2007,9,75,210,2,2,2,0,2,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,20,4232,3781,100%,,6557,8000,13115,16000
NN14,Нижегородская область,Нижний Новгород,​Советский,Советский Центр,Б,03.2026,Бизнес,ЖК Центр 1,"улица Генкиной, 44",56.314582,44.022354,2012,10,83,232,3,3,2,0,2,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,30,7024,3417,100%,,6557,8000,19672,24000
NN15,Нижегородская область,Нижний Новгород,​Советский,Советский Центр,Б,03.2026,Бизнес,ЖК Центр 2,"улица Дунаева, 19",56.315336,44.023845,2014,10,60,168,2,2,2,0,2,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,20,3385,4726,100%,,6557,8000,13115,16000
NN15,Нижегородская область,Нижний Новгород,​Советский,Советский Центр,Б,03.2026,Бизнес,ЖК Центр 2,"улица Дунаева, 15",56.314981,44.022273,2011,10,89,249,3,3,2,0,2,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,30,7532,3186,100%,,6557,8000,19672,24000
NN15,Нижегородская область,Нижний Новгород,​Советский,Советский Центр,Б,03.2026,Бизнес,ЖК Центр 2,"улица Дунаева, 17",56.315076,44.023045,2011,10,63,176,2,2,2,0,2,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,20,3554,4501,100%,,6557,8000,13115,16000
NN16,Нижегородская область,Нижний Новгород,​Советский,Советский Центр,Б,06.2026,Стандарт,ЖК Центр 3,"улица Полтавская , 35",56.313943,44.026270,1990,9,252,706,7,7,7,0,7,Вертикальный 4*3,Digital (без звука),статичный баннер,31,20,14218,3939,100%,,6557,8000,45902,56000
NN17,Нижегородская область,Нижний Новгород,Советский ,Советский Центр,Б,07.2026,Комфорт,ЖК Центр 4,"улица Невзоровых, 66А",56.316674,44.023297,2006,9,89,249,3,0,4,3,3,Вертикальный 4*3,Digital (без звука),статичный баннер,31,40,10043,2390,100%,,6557,8000,19672,24000
NN18,Нижегородская область,Нижний Новгород,Советский ,,Б,08.2026,Комфорт,ЖК Центр 6,"улица Ижорская, 34А",56.313968,44.023027,2003,12,58,162,2,2,2,0,3,Вертикальный 4*3,Digital (без звука),статичный баннер,31,20,3272,4889,100%,,6557,8000,13115,16000
NN19,Нижегородская область,Нижний Новгород,Нижегородский,Нижегородский_Печеры,Б,03.2026,Комфорт,ЖК Печерская гряда 1,"улица Богдановича, 4к1",56.283869,44.073010,2010,17,236,661,6,0,3,6,6,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,40,26630,1802,100%,,6557,8000,39344,48000
NN19,Нижегородская область,Нижний Новгород,Нижегородский,Нижегородский_Печеры,Б,03.2026,Комфорт,ЖК Печерская гряда 1,"улица Богдановича, 4",56.284464,44.073028,2010,17,221,619,6,0,3,6,6,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,40,24938,1925,100%,,6557,8000,39344,48000
NN20,Нижегородская область,Нижний Новгород,Нижегородский,Нижегородский_Печеры,Б,03.2026,Комфорт,ЖК Печерская гряда 2,"улица Богдановича, 2/27",56.284479,44.075453,2008,17,221,619,9,3,3,6,6,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,60,37406,1925,100%,,6557,8000,59016,72000
NN20,Нижегородская область,Нижний Новгород,Нижегородский,Нижегородский_Печеры,Б,03.2026,Комфорт,ЖК Печерская гряда 2,"улица Нижне-Печёрская, 6",56.285089,44.065149,2002,9,169,473,5,5,5,0,6,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,20,9535,4195,100%,,6557,8000,32787,40000
NN21,Нижегородская область,Нижний Новгород,Нижегородский,Нижегородский_Печеры,Б,06.2026,Комфорт,ЖК Печерская гряда 3,"улица Богдановича, 8",56.284459,44.068833,2012,17,202,566,6,0,3,6,6,Вертикальный 4*3,Digital (без звука),статичный баннер,31,40,22794,2106,100%,,6557,8000,39344,48000
NN22,Нижегородская область,Нижний Новгород,​Советский,мкрн. Кузнечиха,Б,03.2026,Стандарт,ЖК Королева,"бульвар Академика Б.А. Королёва, 2",56.282785,44.035460,2015,20,126,353,1,1,1,0,2,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,20,7109,1125,100%,,6557,8000,6557,8000
NN22,Нижегородская область,Нижний Новгород,​Советский,мкрн. Кузнечиха,Б,03.2026,Стандарт,ЖК Королева,"бульвар Академика Б.А. Королёва, 4",56.282800,44.034634,2013,20,126,353,1,1,1,0,2,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,20,7109,1125,100%,,6557,8000,6557,8000
NN22,Нижегородская область,Нижний Новгород,Советский ,мкрн. Кузнечиха,Б,03.2026,Стандарт,ЖК Королева,"бульвар Академика Б.А. Королёва, 8",56.282804,44.032619,2012,19,126,353,3,1,1,2,2,Вертикальный 4*3,Digital (без звука),статичный баннер,31,60,21327,1125,100%,,6557,8000,19672,24000
NN23,Нижегородская область,Нижний Новгород,​Советский,Советский Центр,Б,03.2026,Бизнес,ЖК Европейский квартал,"улица Тимирязева, 9к2",56.307067,43.999456,2023,22,197,552,2,2,2,0,4,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,20,11115,1440,100%,,6557,8000,13115,16000
NN23,Нижегородская область,Нижний Новгород,​Советский,Советский Центр,Б,03.2026,Бизнес,ЖК Европейский квартал,"улица Тимирязева, 13/1",56.305454,44.001001,2014,11,30,84,1,1,2,0,4,Вертикальный 4*3,Digital (без звука),статичный баннер,31,10,846,9453,100%,,6557,8000,6557,8000
NN24,Нижегородская область,Нижний Новгород,Нижегородский,Нижегородский_Печеры,Б,04.2026,Комфорт,"ЖК Облака","улица Родионова, 191к1",56.303536,44.077465,2019,10,223,624,4,0,4,4,8,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,20,12582,2543,100%,,6557,8000,26230,32000
NN24,Нижегородская область,Нижний Новгород,Нижегородский,Нижегородский_Печеры,Б,04.2026,Комфорт,"ЖК Облака","улица Родионова, 191к1",56.303536,44.077465,2019,10,223,624,3,0,4,3,8,Вертикальный 4*3,Digital (без звука),статичный баннер,31,15,9436,2543,100%,,6557,8000,19672,24000
NN25,Нижегородская область,Нижний Новгород,Нижегородский,Нижегородский_Печеры,Б,06.2026,Комфорт,ЖК Облака 2,"улица Родионова, 195к2",56.302567,44.077807,2009,10,72,202,2,2,2,0,2,Вертикальный 4*3,Digital (без звука),статичный баннер,31,20,4062,3939,100%,,6557,8000,13115,16000
NN26,Нижегородская область,Нижний Новгород,Советский,мкрн. Кузнечиха,Б,05.2026,Комфорт,ЖК Белый город 1,"бульвар 60-летия Октября, 21к1",56.285338,44.043581,2017,26,150,420,3,0,1,3,3,Вертикальный 4*3,Digital (без звука),статичный баннер,31,40,16926,1418,100%,,6557,8000,19672,24000
NN27,Нижегородская область,Нижний Новгород,Советский,мкрн. Кузнечиха,Б,05.2026,Стандарт,ЖК Белый город 2,"бульвар 60-летия Октября, 25к3",56.287167,44.040760,2013,18,102,286,4,1,1,3,3,Вертикальный 4*3,Digital (без звука),статичный баннер,31,60,17265,1854,100%,,6557,8000,26230,32000
NN28,Нижегородская область,Нижний Новгород,Нижегородский,Нижегородский_Печеры,Б,05.2026,Комфорт,ЖК Белый город 3,"улица Родионова, 165к10",56.314197,44.067503,2013,17,160,448,6,2,2,4,4,Вертикальный 4*3,Digital (без звука),статичный баннер,31,60,27082,1772,100%,,6557,8000,39344,48000
NN29,Нижегородская область,Нижний Новгород,Советский,мкрн. Кузнечиха,Б,06.2026,Стандарт,ЖК Белый город 4,"бульвар 60-летия Октября, 25к2",56.286193,44.040832,2013,18,102,286,4,1,1,3,3,Вертикальный 4*3,Digital (без звука),статичный баннер,31,60,17265,1854,100%,,6557,8000,26230,32000
NN30,Нижегородская область,Нижний Новгород,Нижегородский,Нижегородский_Печеры,Б,05.2026,Комфорт,ЖК Долина,"улица Родионова, 165",56.313643,44.069767,2007,18,102,286,3,1,2,2,4,Вертикальный 4*3,Digital (без звука),статичный баннер,31,30,8632,2780,100%,,6557,8000,19672,24000
NN30,Нижегородская область,Нижний Новгород,Нижегородский,Нижегородский_Печеры,Б,05.2026,Комфорт,ЖК Долина,"улица Родионова, 165к6",56.313598,44.067494,2005,10,50,140,2,1,1,1,1,Вертикальный 4*3,Digital (без звука),статичный баннер,31,60,8463,1891,100%,,6557,8000,13115,16000
NN31,Нижегородская область,Нижний Новгород,Нижегородский,Нижегородский_Печеры,Б,05.2026,Стандарт,ЖК Нижнепечерская,"улица Нижне-Печёрская, 4",56.286398,44.065167,2003,16,181,507,6,0,5,6,6,Вертикальный 4*3,Digital (без звука),статичный баннер,31,40,20424,2350,100%,,6557,8000,39344,48000
NN31,Нижегородская область,Нижний Новгород,Нижегородский,Нижегородский_Печеры,Б,05.2026,Стандарт,ЖК Нижнепечерская,"улица Нижне-Печёрская, 15",56.284519,44.062481,2010,17,160,448,4,2,2,2,4,Вертикальный 4*3,Digital (без звука),статичный баннер,31,40,18054,1772,100%,,6557,8000,26230,32000
NN72,Нижегородская область,Нижний Новгород,Нижегородский,Нижегородский_Печеры,Б,06.2026,Стандарт,ЖК Нижнепечерская 3,"улица Нижне-Печёрская, 17",56.283819,44.061242,2009,17,167,468,6,2,2,4,4,Вертикальный 4*3,Digital (без звука),статичный баннер,31,60,28266,1698,100%,,6557,8000,39344,48000
NN32,Нижегородская область,Нижний Новгород,Приокский,Приокский,Б,05.2026,Стандарт,ЖК Победа 1,"улица 40 лет Победы, 18",56.223286,43.951926,2013,10,301,843,4,4,4,0,8,Вертикальный 4*3,Digital (без звука),статичный баннер,31,20,16982,1884,100%,,6557,8000,26230,32000
NN33,Нижегородская область,Нижний Новгород,Приокский,Приокский,Б,05.2026,Стандарт,ЖК Победа 2,"улица 40 лет Победы, 22",56.222310,43.952132,2013,10,137,384,2,2,2,0,2,Вертикальный 4*3,Digital (без звука),статичный баннер,31,20,7730,2070,100%,,6557,8000,13115,16000
NN34,Нижегородская область,Нижний Новгород,Нижегородский,Нижегородский_Печеры,Б,06.2026,Стандарт,ЖК Корица 1,"улица Александра Хохлова, 15",56.302468,44.066757,2005,10,90,252,2,2,2,0,2,Вертикальный 4*3,Digital (без звука),статичный баннер,31,20,5078,3151,100%,,6557,8000,13115,16000
NN35,Нижегородская область,Нижний Новгород,Нижегородский,Нижегородский_Печеры,Б,06.2026,Комфорт,ЖК Корица 2,"улица Александра Хохлова, 1",56.303731,44.069560,2007,10,280,784,4,4,6,0,6,Вертикальный 4*3,Digital (без звука),статичный баннер,31,13,10532,3038,100%,,6557,8000,26230,32000
NN35,Нижегородская область,Нижний Новгород,Нижегородский,Нижегородский_Печеры,Б,06.2026,Комфорт,ЖК Корица 2,"улица Александра Хохлова, 1",56.303731,44.069560,2007,10,280,784,2,2,6,0,6,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,7,5266,3038,100%,,6557,8000,13115,16000
NN36,Нижегородская область,Нижний Новгород,Нижегородский,Нижегородский_Печеры,Б,05.2026,Комфорт,ЖК Корица 3,"улица Александра Хохлова, 21",56.303586,44.067593,2013,9,224,627,6,6,6,0,6,Вертикальный 4*3,Digital (без звука),статичный баннер,31,20,12638,3798,100%,,6557,8000,39344,48000
NN37,Нижегородская область,Нижний Новгород,Нижегородский,Нижегородский_Печеры,Б,06.2026,Комфорт,ЖК Корица 4,"улица Александра Хохлова, 1",56.303731,44.069560,2007,10,280,784,6,0,6,6,6,Вертикальный 4*3,Digital (без звука),статичный баннер,31,40,31595,1519,100%,,6557,8000,39344,48000
NN38,Нижегородская область,Нижний Новгород,Советский,Советский Центр,Б,05.2026,Бизнес,ЖК Оранжерейная,"улица 1-я Оранжерейная, 28А",56.304960,43.995027,2010,10,244,683,7,0,7,7,7,Вертикальный 4*3,Digital (без звука),статичный баннер,31,40,27533,2034,100%,,6557,8000,45902,56000
NN39,Нижегородская область,Нижний Новгород,Нижегородский,Нижегородский_Печеры,Б,05.2026,Бизнес,ЖК Лопатина,"улица Германа Лопатина, 12к1",56.298482,44.060784,2010,17,194,543,4,0,2,4,4,Вертикальный 4*3,Digital (без звука),статичный баннер,31,40,21891,1462,100%,,6557,8000,26230,32000
NN39,Нижегородская область,Нижний Новгород,Нижегородский,Нижегородский_Печеры,Б,05.2026,Бизнес,ЖК Лопатина,"улица Германа Лопатина, 12к2",56.298177,44.060218,2010,11,32,90,1,0,1,1,1,Вертикальный 4*3,Digital (без звука),статичный баннер,31,40,3611,2216,100%,,6557,8000,6557,8000
NN40,Нижегородская область,Нижний Новгород,Приокский,Приокский,Б,06.2026,Комфорт,ЖК Приокский,"улица Маршала Жукова, 8к1",56.235185,43.960109,2024,16,180,504,4,0,3,4,6,Вертикальный 4*3,Digital (без звука),статичный баннер,31,27,13541,2363,100%,,6557,8000,26230,32000
NN41,Нижегородская область,Нижний Новгород,Автозаводский,Автозаводский,Б,06.2026,Стандарт,ЖК Водный мир 1,"улица Янки Купалы, 32",56.236601,43.845377,2010,17,160,448,4,0,2,4,4,Вертикальный 4*3,Digital (без звука),статичный баннер,31,40,18054,1772,100%,,6557,8000,26230,32000
NN42,Нижегородская область,Нижний Новгород,Автозаводский,Автозаводский,Б,06.2026,Стандарт,ЖК Водный мир 2,"улица Янки Купалы, 36",56.237267,43.844496,2010,17,160,448,4,0,2,4,4,Вертикальный 4*3,Digital (без звука),статичный баннер,31,40,18054,1772,100%,,6557,8000,26230,32000
NN42,Нижегородская область,Нижний Новгород,Автозаводский,Автозаводский,Б,06.2026,Стандарт,ЖК Водный мир 2,"улица Янки Купалы, 34",56.236516,43.843841,2009,17,160,448,4,0,2,4,4,Вертикальный 4*3,Digital (без звука),статичный баннер,31,40,18054,1772,100%,,6557,8000,26230,32000
NN43,Нижегородская область,Нижний Новгород,Автозаводский,Автозаводский,Б,06.2026,Стандарт,ЖК Водный мир 3,"улица Янки Купалы, 40",56.237942,43.843607,2008,17,160,448,4,0,2,4,4,Вертикальный 4*3,Digital (без звука),статичный баннер,31,40,18054,1772,100%,,6557,8000,26230,32000
NN44,Нижегородская область,Нижний Новгород,Автозаводский,Автозаводский,Б,06.2026,Стандарт,ЖК Водный мир 3,"улица Янки Купалы, 38",56.237187,43.843005,2009,17,160,448,4,0,2,4,4,Вертикальный 4*3,Digital (без звука),статичный баннер,31,40,18054,1772,100%,,6557,8000,26230,32000
NN45,Нижегородская область,Нижний Новгород,Автозаводский,Автозаводский,Б,06.2026,Стандарт,ЖК Водный Мир 4,"улица Янки Купалы, 42",56.237862,43.842188,2009,17,160,448,4,0,2,4,4,Вертикальный 4*3,Digital (без звука),статичный баннер,31,40,18054,1772,100%,,6557,8000,26230,32000
NN45,Нижегородская область,Нижний Новгород,Автозаводский,Автозаводский,Б,06.2026,Стандарт,ЖК Водный Мир 4,"улица Янки Купалы, 44",56.238617,43.842763,2009,17,160,448,4,0,2,4,4,Вертикальный 4*3,Digital (без звука),статичный баннер,31,40,18054,1772,100%,,6557,8000,26230,32000
NN46,Нижегородская область,Нижний Новгород,Сормовский,Сормовский,Б,06.2026,Комфорт,ЖК Комунны 1,"улица Коммуны, 16",56.341647,43.837337,2015,12,121,339,2,0,1,2,2,Вертикальный 4*3,Digital (без звука),статичный баннер,31,40,13654,1172,100%,,6557,8000,13115,16000
NN46,Нижегородская область,Нижний Новгород,Сормовский,Сормовский,Б,06.2026,Комфорт,ЖК Комунны 1,"улица Коммуны, 14",56.342191,43.836888,2015,12,121,339,2,0,1,2,2,Вертикальный 4*3,Digital (без звука),статичный баннер,31,40,13654,1172,100%,,6557,8000,13115,16000
NN47,Нижегородская область,Нижний Новгород,Сормовский,Сормовский,Б,07.2026,Комфорт,ЖК Комунны 2,"улица Коммуны, 18",56.341074,43.837804,2012,17,121,339,2,0,1,2,2,Вертикальный 4*3,Digital (без звука),статичный баннер,31,40,13654,1172,100%,,6557,8000,13115,16000
NN47,Нижегородская область,Нижний Новгород,Сормовский,Сормовский,Б,07.2026,Комфорт,ЖК Комунны 2,"улица Коммуны, 20",56.340515,43.838298,2015,12,121,339,2,0,1,2,2,Вертикальный 4*3,Digital (без звука),статичный баннер,31,40,13654,1172,100%,,6557,8000,13115,16000
NN48,Нижегородская область,Нижний Новгород,Сормовский,Сормовский,Б,06.2026,Комфорт,ЖК Победная 1,"улица Победная, 17",56.366002,43.808249,2007,10,120,336,3,3,3,0,3,Вертикальный 4*3,Digital (без звука),статичный баннер,31,20,6770,3545,100%,,6557,8000,19672,24000
NN48,Нижегородская область,Нижний Новгород,Сормовский,Сормовский,Б,06.2026,Комфорт,ЖК Победная 1,"улица Победная, 17к1",56.365792,43.809273,2008,10,169,473,3,3,4,0,4,Вертикальный 4*3,Digital (без звука),статичный баннер,31,15,7151,3356,100%,,6557,8000,19672,24000
NN48,Нижегородская область,Нижний Новгород,Сормовский,Сормовский,Б,06.2026,Комфорт,ЖК Победная 1,"улица Победная, 17к1",56.365792,43.809273,2008,10,169,473,1,1,4,0,4,Вертикальный 4*3,Digital (без звука),статичный баннер,31,5,2384,3356,100%,,6557,8000,6557,8000
NN49,Нижегородская область,Нижний Новгород,Сормовский,Сормовский,Б,06.2026,Комфорт,ЖК Победная 2,"улица Победная, 17к2",56.366316,43.809345,2008,10,110,308,3,3,3,0,3,Вертикальный 4*3,Digital (без звука),статичный баннер,31,20,6206,3867,100%,,6557,8000,19672,24000
NN49,Нижегородская область,Нижний Новгород,Сормовский,Сормовский,Б,06.2026,Комфорт,ЖК Победная 2,"улица Победная, 18",56.367762,43.809731,2007,10,119,333,3,3,3,0,3,Вертикальный 4*3,Digital (без звука),статичный баннер,31,20,6714,3575,100%,,6557,8000,19672,24000
NN50,Нижегородская область,Нижний Новгород,Сормовский,Сормовский,Б,06.2026,Стандарт,ЖК Победная 3,"улица Победная, 20",56.368245,43.809166,2004,10,118,330,3,3,3,3,3,Вертикальный 4*3,Digital (без звука),статичный баннер,31,60,19973,1202,100%,,6557,8000,19672,24000
NN50,Нижегородская область,Нижний Новгород,Сормовский,Сормовский,Б,06.2026,Стандарт,ЖК Победная 3,"улица Победная, 20к1",56.368554,43.810118,2004,10,79,221,2,2,2,0,2,Вертикальный 4*3,Digital (без звука),статичный баннер,31,20,4457,3590,100%,,6557,8000,13115,16000
NN51,Нижегородская область,Нижний Новгород,Сормовский,Сормовский,Б,06.2026,Стандарт,ЖК Победная 4,"улица Победная, 20к2",56.368873,43.810010,2005,10,80,224,2,2,2,0,2,Вертикальный 4*3,Digital (без звука),статичный баннер,31,20,4514,3545,100%,,6557,8000,13115,16000
NN51,Нижегородская область,Нижний Новгород,Сормовский,Сормовский,Б,06.2026,Стандарт,ЖК Победная 4,"улица Победная, 21",56.368564,43.808213,2001,10,80,224,2,2,2,0,2,Вертикальный 4*3,Digital (без звука),статичный баннер,31,20,4514,3545,100%,,6557,8000,13115,16000
NN52,Нижегородская область,Нижний Новгород,Сормовский,Сормовский,Б,06.2026,Стандарт,ЖК Победная 5,"улица Победная, 21к1",56.369013,43.807818,2003,10,119,333,3,3,3,0,3,Вертикальный 4*3,Digital (без звука),статичный баннер,31,20,6714,3575,100%,,6557,8000,19672,24000
NN52,Нижегородская область,Нижний Новгород,Сормовский,Сормовский,Б,06.2026,Стандарт,ЖК Победная 5,"улица Победная, 21к2",56.369472,43.807216,2003,10,82,230,2,2,2,0,2,Вертикальный 4*3,Digital (без звука),статичный баннер,31,20,4626,3458,100%,,6557,8000,13115,16000
NN53,Нижегородская область,Нижний Новгород,Сормовский,Сормовский,Б,07.2026,Комфорт,ЖК Удачный 2,"улица 8 Марта, 26",56.345284,43.832836,2022,10,195,546,3,0,3,3,3,Вертикальный 4*3,Digital (без звука),статичный баннер,31,40,22004,1091,100%,,6557,8000,19672,24000
NN54,Нижегородская область,Нижний Новгород,Сормовский,Сормовский,Б,07.2026,Комфорт,ЖК Удачный 3,"улица 8 Марта, 28",56.344292,43.831839,2022,10,195,546,3,0,3,3,3,Вертикальный 4*3,Digital (без звука),статичный баннер,31,40,22004,1091,100%,,6557,8000,19672,24000
NN55,Нижегородская область,Нижний Новгород,Канавинский,Московский,Б,07.2026,Комфорт,ЖК Актюбинская,"улица Актюбинская, 1в к1",56.312095,43.88941,2026,21,180,504,3,1,1,2,2,Вертикальный 4*3,Digital (без звука),статичный баннер,31,60,30467,788,100%,,6557,8000,19672,24000
NN55,Нижегородская область,Нижний Новгород,Канавинский,Московский,Б,07.2026,Комфорт,ЖК Актюбинская,"улица Актюбинская, 1В",56.311990,43.888550,2026,21,180,504,3,1,1,2,2,Вертикальный 4*3,Digital (без звука),статичный баннер,31,60,30467,788,100%,,6557,8000,19672,24000
NN56,Нижегородская область,Нижний Новгород,Сормовский,Сормовский,Б,07.2026,Комфорт,ЖК Достаевского,"улица Достоевского, 15",56.343603,43.832845,2021,10,216,605,5,5,3,0,3,Вертикальный 4*3,Digital (без звука),статичный баннер,31,34,20311,1969,100%,,6557,8000,32787,40000
NN57,Нижегородская область,Нижний Новгород,Канавинский,Московский,Б,07.2026,Комфорт,ЖК Мёд 1,"Комсомольское шоссе, 9 ",56.302008,43.924096,2025,27,188,526,4,1,1,3,3,Вертикальный 4*3,Digital (без звука),статичный баннер,31,60,31821,1006,100%,,6557,8000,26230,32000
NN71,Нижегородская область,Нижний Новгород,Канавинский,Московский,Б,07.2026,Комфорт,ЖК Мёд 2,"Комсомольское шоссе, 11",56.301986,43.925325,2025,27,185,518,4,1,1,3,3,Вертикальный 4*3,Digital (без звука),статичный баннер,31,60,31313,1022,100%,,6557,8000,26230,32000
NN58,Нижегородская область,Нижний Новгород,Канавинский,Московский,Б,07.2026,Комфорт,ЖК Мещерское озеро,"улица Сергея Акимова, 22Б",56.338315,43.927195,2008,10,120,336,3,0,3,3,3,Вертикальный 4*3,Digital (без звука),статичный баннер,31,40,13541,1772,100%,,6557,8000,19672,24000
NN59,Нижегородская область,Нижний Новгород,Московский,Московский,Б,07.2026,Комфорт,ЖК Рубин,"улица Куйбышева, 67",56.332212,43.913613,2015,12,143,400,2,0,1,2,2,Вертикальный 4*3,Digital (без звука),статичный баннер,31,40,16136,992,100%,,6557,8000,13115,16000
NN59,Нижегородская область,Нижний Новгород,Московский,Московский,Б,07.2026,Комфорт,ЖК Рубин,"улица Куйбышева, 69",56.332546,43.913819,2014,12,110,308,2,0,1,2,2,Вертикальный 4*3,Digital (без звука),статичный баннер,31,40,12412,1289,100%,,6557,8000,13115,16000
NN60,Нижегородская область,Нижний Новгород,Сормовский,Сормовский,Б,07.2026,Комфорт,ЖК Культурный,"улица Циолковского, 7к1",56.345918,43.838531,2004,9,72,202,1,1,1,0,1,Вертикальный 4*3,Digital (без звука),статичный баннер,31,20,4062,1969,100%,,6557,8000,6557,8000
NN61,Нижегородская область,Нижний Новгород,Канавинский,Московский,Б,07.2026,Комфорт,ЖК Есенина,"улица Сергея Есенина, 41",56.337721,43.929935,2008,10,135,378,4,4,4,0,4,Вертикальный 4*3,Digital (без звука),статичный баннер,31,20,7617,4201,100%,,6557,8000,26230,32000
NN62,Нижегородская область,Нижний Новгород,Канавинский,Московский,Б,07.2026,Комфорт,ЖК Волжские огни 1,"Волжская набережная, 8",56.347679,43.935289,2007,19,616,1 725,8,4,11,4,22,Вертикальный 4*3,Digital (без звука),статичный баннер,31,15,25276,2532,100%,,6557,8000,52459,64000
NN63,Нижегородская область,Нижний Новгород,Канавинский,Московский,Б,07.2026,Комфорт,ЖК Волжские огни 2,"Волжская набережная, 8",56.347679,43.935289,2007,19,616,1 725,8,4,11,4,22,Вертикальный 4*3,Digital (без звука),статичный баннер,31,15,25276,2532,100%,,6557,8000,52459,64000
